antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Engenharia Mecânica - B380148200148'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Engenharia Mecânica - B461200642855'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Mecânica - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Mecânica - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - A218148855402'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Química - A292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B200380461148'}),frozenset({'Aprovado'}),0.0069504778453518675,0.27628149435273675,0.0026064291920069507,0.37500000000000006,1.3573113207547172,0.0006861407864275468,1.1579496090356212,0.2650918635170605
frozenset({'Engenharia Química - B292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B380148200148'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Química - B461200642855'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B888642512642'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Química - P380148200'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - P394200218'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Engenharia Química - P512200642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - P855200218'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - P888402148'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Física - Bacharelado - AP806642512402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Física - Bacharelado - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Física - Bacharelado - P642380402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
